{'model_params': 2506172416, 'peft_params': 2947056}
{'loss': 466.0, 'grad_norm_square': 1249378304.0, 'tokens': 319}
{'loss': 360.0, 'grad_norm_square': 510319599.5, 'tokens': 252}
{'loss': 302.0, 'grad_norm_square': 715940285.5, 'tokens': 311}
{'loss': 324.0, 'grad_norm_square': 427791379.0, 'tokens': 308}
{'loss': 502.0, 'grad_norm_square': 1414247774.0, 'tokens': 335}
{'loss': 620.0, 'grad_norm_square': 840682883.0, 'tokens': 434}
{'loss': 374.0, 'grad_norm_square': 611454992.0, 'tokens': 378}
{'loss': 340.0, 'grad_norm_square': 492937918.0, 'tokens': 299}
{'loss': 388.0, 'grad_norm_square': 651834426.0, 'tokens': 377}
{'loss': 358.0, 'grad_norm_square': 520555948.0, 'tokens': 294}
{'loss': 292.0, 'grad_norm_square': 476309890.0, 'tokens': 315}
{'loss': 294.0, 'grad_norm_square': 395183450.0, 'tokens': 328}
{'loss': 376.0, 'grad_norm_square': 557697780.0, 'tokens': 394}
{'loss': 298.0, 'grad_norm_square': 625097512.0, 'tokens': 291}
{'loss': 266.0, 'grad_norm_square': 330724130.0, 'tokens': 274}
{'loss': 368.0, 'grad_norm_square': 829630788.0, 'tokens': 342}
{'loss': 304.0, 'grad_norm_square': 581066268.0, 'tokens': 441}
{'loss': 360.0, 'grad_norm_square': 546360212.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 593558880.0, 'tokens': 306}
{'loss': 276.0, 'grad_norm_square': 251551346.0, 'tokens': 343}
{'loss': 201.0, 'grad_norm_square': 193803122.0, 'tokens': 230}
{'loss': 410.0, 'grad_norm_square': 633653688.0, 'tokens': 438}
{'loss': 306.0, 'grad_norm_square': 258102054.0, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 641006852.0, 'tokens': 488}
{'loss': 300.0, 'grad_norm_square': 312071852.0, 'tokens': 343}
{'loss': 412.0, 'grad_norm_square': 597437028.0, 'tokens': 360}
{'loss': 252.0, 'grad_norm_square': 426638972.0, 'tokens': 227}
{'loss': 460.0, 'grad_norm_square': 595893376.0, 'tokens': 400}
{'loss': 304.0, 'grad_norm_square': 376002586.0, 'tokens': 389}
{'loss': 354.0, 'grad_norm_square': 351180836.0, 'tokens': 347}
{'loss': 310.0, 'grad_norm_square': 282621716.0, 'tokens': 281}
{'loss': 223.0, 'grad_norm_square': 190912535.0, 'tokens': 299}
{'loss': 316.0, 'grad_norm_square': 288896946.0, 'tokens': 305}
{'loss': 430.0, 'grad_norm_square': 643702520.0, 'tokens': 304}
{'loss': 215.0, 'grad_norm_square': 175405032.0, 'tokens': 289}
{'loss': 456.0, 'grad_norm_square': 371746488.0, 'tokens': 381}
{'loss': 332.0, 'grad_norm_square': 301087836.0, 'tokens': 395}
{'loss': 266.0, 'grad_norm_square': 249333180.0, 'tokens': 267}
{'loss': 368.0, 'grad_norm_square': 339918796.0, 'tokens': 299}
{'loss': 406.0, 'grad_norm_square': 536472976.0, 'tokens': 407}
{'loss': 356.0, 'grad_norm_square': 599774656.0, 'tokens': 347}
{'loss': 221.0, 'grad_norm_square': 205031746.0, 'tokens': 248}
{'loss': 400.0, 'grad_norm_square': 331711388.0, 'tokens': 309}
{'loss': 330.0, 'grad_norm_square': 248803256.0, 'tokens': 335}
{'loss': 384.0, 'grad_norm_square': 838642348.0, 'tokens': 420}
{'loss': 292.0, 'grad_norm_square': 224829852.0, 'tokens': 293}
{'loss': 248.0, 'grad_norm_square': 167583788.0, 'tokens': 251}
{'loss': 374.0, 'grad_norm_square': 332461432.0, 'tokens': 348}
{'loss': 460.0, 'grad_norm_square': 317857688.0, 'tokens': 336}
{'loss': 336.0, 'grad_norm_square': 229403850.0, 'tokens': 334}
{'loss': 262.0, 'grad_norm_square': 251578806.0, 'tokens': 312}
{'loss': 418.0, 'grad_norm_square': 351133400.0, 'tokens': 332}
{'loss': 241.0, 'grad_norm_square': 162560416.0, 'tokens': 272}
{'loss': 195.0, 'grad_norm_square': 170707072.0, 'tokens': 258}
{'loss': 374.0, 'grad_norm_square': 261334816.0, 'tokens': 314}
{'loss': 207.0, 'grad_norm_square': 111703370.0, 'tokens': 261}
{'loss': 292.0, 'grad_norm_square': 290045624.0, 'tokens': 291}
{'loss': 472.0, 'grad_norm_square': 682173920.0, 'tokens': 383}
{'loss': 386.0, 'grad_norm_square': 253841876.0, 'tokens': 323}
{'loss': 358.0, 'grad_norm_square': 369404008.0, 'tokens': 350}
{'loss': 282.0, 'grad_norm_square': 195376840.0, 'tokens': 358}
{'loss': 258.0, 'grad_norm_square': 174544770.0, 'tokens': 240}
{'loss': 229.0, 'grad_norm_square': 218452664.0, 'tokens': 256}
{'loss': 318.0, 'grad_norm_square': 198928812.0, 'tokens': 314}
{'loss': 231.0, 'grad_norm_square': 111549748.0, 'tokens': 249}
{'loss': 364.0, 'grad_norm_square': 308713236.0, 'tokens': 352}
{'loss': 348.0, 'grad_norm_square': 299029856.0, 'tokens': 330}
{'loss': 264.0, 'grad_norm_square': 249780840.0, 'tokens': 243}
{'loss': 262.0, 'grad_norm_square': 183059442.0, 'tokens': 292}
{'loss': 310.0, 'grad_norm_square': 212150972.0, 'tokens': 293}
{'loss': 290.0, 'grad_norm_square': 253670632.0, 'tokens': 327}
{'loss': 348.0, 'grad_norm_square': 205385274.0, 'tokens': 310}
{'loss': 270.0, 'grad_norm_square': 188297528.0, 'tokens': 254}
{'loss': 430.0, 'grad_norm_square': 332279040.0, 'tokens': 433}
{'loss': 414.0, 'grad_norm_square': 269615428.0, 'tokens': 352}
{'loss': 200.0, 'grad_norm_square': 164465790.0, 'tokens': 206}
{'loss': 282.0, 'grad_norm_square': 263708752.0, 'tokens': 243}
{'loss': 312.0, 'grad_norm_square': 303471288.0, 'tokens': 312}
{'loss': 450.0, 'grad_norm_square': 272652068.0, 'tokens': 374}
{'loss': 316.0, 'grad_norm_square': 205816816.0, 'tokens': 279}
{'loss': 217.0, 'grad_norm_square': 118026948.0, 'tokens': 286}
{'loss': 242.0, 'grad_norm_square': 154264832.0, 'tokens': 288}
{'loss': 264.0, 'grad_norm_square': 142742772.0, 'tokens': 270}
{'loss': 324.0, 'grad_norm_square': 140594712.0, 'tokens': 309}
{'loss': 312.0, 'grad_norm_square': 193135748.0, 'tokens': 319}
{'loss': 193.0, 'grad_norm_square': 109419428.0, 'tokens': 210}
{'loss': 282.0, 'grad_norm_square': 181850916.0, 'tokens': 347}
{'loss': 236.0, 'grad_norm_square': 187820004.0, 'tokens': 336}
{'loss': 356.0, 'grad_norm_square': 303444704.0, 'tokens': 375}
{'loss': 199.0, 'grad_norm_square': 137934360.0, 'tokens': 237}
{'loss': 512.0, 'grad_norm_square': 346521392.0, 'tokens': 464}
{'loss': 286.0, 'grad_norm_square': 161283884.0, 'tokens': 354}
