{'model_params': 8030261248, 'peft_params': 11890688}
{'loss': 432.0, 'grad_norm_square': 518144854589440.0, 'tokens': 258}
{'loss': 5696.0, 'grad_norm_square': 9.685910079900877e+17, 'tokens': 309}
{'loss': 9664.0, 'grad_norm_square': 5.313270054165545e+17, 'tokens': 427}
{'loss': 4256.0, 'grad_norm_square': 3126658797411072.0, 'tokens': 234}
{'loss': 6720.0, 'grad_norm_square': 181015088603079.0, 'tokens': 318}
{'loss': 3136.0, 'grad_norm_square': 3035613959854.9595, 'tokens': 326}
{'loss': 4896.0, 'grad_norm_square': 150242359197409.6, 'tokens': 308}
{'loss': 2992.0, 'grad_norm_square': 1594817387005.298, 'tokens': 300}
{'loss': 2640.0, 'grad_norm_square': 3156881498341.6025, 'tokens': 246}
{'loss': 3808.0, 'grad_norm_square': 4983364045805.197, 'tokens': 348}
{'loss': 3536.0, 'grad_norm_square': 3410533830488.1064, 'tokens': 328}
{'loss': 3616.0, 'grad_norm_square': 1715827433855.0237, 'tokens': 352}
{'loss': 4288.0, 'grad_norm_square': 584798299695.3413, 'tokens': 419}
{'loss': 3264.0, 'grad_norm_square': 887767341048.1256, 'tokens': 341}
{'loss': 3168.0, 'grad_norm_square': 1266419738928.5198, 'tokens': 329}
{'loss': 3264.0, 'grad_norm_square': 1538410948665.7817, 'tokens': 335}
{'loss': 2272.0, 'grad_norm_square': 665225552618.0956, 'tokens': 235}
{'loss': 2528.0, 'grad_norm_square': 625017204876.3484, 'tokens': 263}
{'loss': 2816.0, 'grad_norm_square': 547992645362.7005, 'tokens': 336}
{'loss': 3824.0, 'grad_norm_square': 953846039591.3413, 'tokens': 411}
{'loss': 2080.0, 'grad_norm_square': 118031234667.00134, 'tokens': 250}
{'loss': 3248.0, 'grad_norm_square': 230291870742.49002, 'tokens': 377}
{'loss': 2432.0, 'grad_norm_square': 133039952292.6873, 'tokens': 277}
{'loss': 2000.0, 'grad_norm_square': 122929818630.24721, 'tokens': 240}
{'loss': 2768.0, 'grad_norm_square': 213654701500.36285, 'tokens': 323}
{'loss': 2928.0, 'grad_norm_square': 259157593483.4375, 'tokens': 334}
{'loss': 2688.0, 'grad_norm_square': 137955822629.26337, 'tokens': 306}
{'loss': 2768.0, 'grad_norm_square': 206535075911.83002, 'tokens': 325}
{'loss': 3536.0, 'grad_norm_square': 213275881590.11893, 'tokens': 405}
{'loss': 3216.0, 'grad_norm_square': 151660504042.93503, 'tokens': 374}
{'loss': 1784.0, 'grad_norm_square': 43220396272.20427, 'tokens': 214}
{'loss': 1848.0, 'grad_norm_square': 45789844434.71127, 'tokens': 230}
{'loss': 2864.0, 'grad_norm_square': 104429942125.38074, 'tokens': 360}
{'loss': 2208.0, 'grad_norm_square': 89066661501.83119, 'tokens': 288}
{'loss': 2672.0, 'grad_norm_square': 217595280024.39832, 'tokens': 342}
{'loss': 2144.0, 'grad_norm_square': 148177979113.71167, 'tokens': 261}
{'loss': 2432.0, 'grad_norm_square': 294461161305.2039, 'tokens': 276}
{'loss': 3360.0, 'grad_norm_square': 180563271790.81946, 'tokens': 420}
{'loss': 2176.0, 'grad_norm_square': 64915628833.37961, 'tokens': 266}
{'loss': 2496.0, 'grad_norm_square': 66688608984.32217, 'tokens': 315}
{'loss': 2064.0, 'grad_norm_square': 147400911141.12726, 'tokens': 286}
{'loss': 3056.0, 'grad_norm_square': 162724582061.589, 'tokens': 385}
{'loss': 2224.0, 'grad_norm_square': 74645850967.94662, 'tokens': 266}
{'loss': 2544.0, 'grad_norm_square': 74852339688.62769, 'tokens': 305}
{'loss': 1600.0, 'grad_norm_square': 43712569773.71867, 'tokens': 206}
{'loss': 2096.0, 'grad_norm_square': 65951259549.23398, 'tokens': 275}
{'loss': 1832.0, 'grad_norm_square': 42796569743.28014, 'tokens': 241}
{'loss': 1976.0, 'grad_norm_square': 33254679680.08309, 'tokens': 253}
{'loss': 1720.0, 'grad_norm_square': 30564677346.56732, 'tokens': 223}
{'loss': 2080.0, 'grad_norm_square': 74441180790.33788, 'tokens': 269}
{'loss': 1808.0, 'grad_norm_square': 32031437857.06161, 'tokens': 248}
