{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 29847519232.0, 'tokens': 319}
{'loss': 620.7388916015625, 'grad_norm_square': 914887154688.0, 'tokens': 252}
{'loss': 2462.90087890625, 'grad_norm_square': 150120960229376.0, 'tokens': 311}
{'loss': 1447.8941650390625, 'grad_norm_square': 11446566514688.0, 'tokens': 308}
{'loss': 1028.95703125, 'grad_norm_square': 384693748736.0, 'tokens': 335}
{'loss': 25082.0078125, 'grad_norm_square': 2999050102112256.0, 'tokens': 434}
{'loss': 2488.5126953125, 'grad_norm_square': 2647259471872.0, 'tokens': 378}
{'loss': 1529.0262451171875, 'grad_norm_square': 817288396800.0, 'tokens': 299}
{'loss': 1557.3017578125, 'grad_norm_square': 1226274365440.0, 'tokens': 377}
{'loss': 1395.5628662109375, 'grad_norm_square': 1836513542144.0, 'tokens': 294}
{'loss': 20129.603515625, 'grad_norm_square': 3959737615908864.0, 'tokens': 315}
{'loss': 3207.548583984375, 'grad_norm_square': 19771845443584.0, 'tokens': 328}
{'loss': 2875.4638671875, 'grad_norm_square': 3661146161152.0, 'tokens': 394}
{'loss': 1235.9998779296875, 'grad_norm_square': 1087591596032.0, 'tokens': 291}
{'loss': 1691.894775390625, 'grad_norm_square': 2691053551616.0, 'tokens': 274}
{'loss': 4985.28759765625, 'grad_norm_square': 1144117933375488.0, 'tokens': 342}
{'loss': 3865.8154296875, 'grad_norm_square': 6988857278464.0, 'tokens': 441}
{'loss': 4613.46142578125, 'grad_norm_square': 7869113630720.0, 'tokens': 360}
{'loss': 4551.60302734375, 'grad_norm_square': 5855162040320.0, 'tokens': 306}
{'loss': 3971.55419921875, 'grad_norm_square': 2951137869824.0, 'tokens': 343}
{'loss': 3487.502685546875, 'grad_norm_square': 1739824816128.0, 'tokens': 230}
{'loss': 6052.7294921875, 'grad_norm_square': 9936903733248.0, 'tokens': 438}
{'loss': 3286.5859375, 'grad_norm_square': 11618892595200.0, 'tokens': 330}
{'loss': 4406.986328125, 'grad_norm_square': 9139570831360.0, 'tokens': 488}
{'loss': 2157.47607421875, 'grad_norm_square': 1909821980672.0, 'tokens': 343}
{'loss': 2507.828125, 'grad_norm_square': 3767677288448.0, 'tokens': 360}
{'loss': 1316.44775390625, 'grad_norm_square': 320677586944.0, 'tokens': 227}
{'loss': 2599.51513671875, 'grad_norm_square': 3776729350144.0, 'tokens': 400}
{'loss': 2308.46923828125, 'grad_norm_square': 9555202670592.0, 'tokens': 389}
{'loss': 2422.422607421875, 'grad_norm_square': 9389482311680.0, 'tokens': 347}
{'loss': 1961.447998046875, 'grad_norm_square': 2847322177536.0, 'tokens': 281}
{'loss': 4166.5947265625, 'grad_norm_square': 731615756419072.0, 'tokens': 299}
{'loss': 6717.58984375, 'grad_norm_square': 28814446190592.0, 'tokens': 305}
{'loss': 7009.1708984375, 'grad_norm_square': 13671971192832.0, 'tokens': 304}
{'loss': 3556.798583984375, 'grad_norm_square': 1934957536768.0, 'tokens': 289}
{'loss': 5309.87890625, 'grad_norm_square': 3443067624448.0, 'tokens': 381}
{'loss': 4825.59619140625, 'grad_norm_square': 3555417577472.0, 'tokens': 395}
{'loss': 3304.170166015625, 'grad_norm_square': 32554559561728.0, 'tokens': 267}
{'loss': 3846.714111328125, 'grad_norm_square': 1869195592576.0, 'tokens': 299}
{'loss': 3961.1064453125, 'grad_norm_square': 2485692867584.0, 'tokens': 407}
{'loss': 3796.19677734375, 'grad_norm_square': 119853226262528.0, 'tokens': 347}
{'loss': 3568.964599609375, 'grad_norm_square': 2029152439296.0, 'tokens': 248}
{'loss': 3517.0234375, 'grad_norm_square': 14241089689600.0, 'tokens': 309}
{'loss': 3685.19189453125, 'grad_norm_square': 1216895055232.0, 'tokens': 335}
{'loss': 4591.21533203125, 'grad_norm_square': 4131154371584.0, 'tokens': 420}
{'loss': 4393.181640625, 'grad_norm_square': 5128249933312.0, 'tokens': 293}
{'loss': 2401.904296875, 'grad_norm_square': 561245014208.0, 'tokens': 251}
{'loss': 3359.45654296875, 'grad_norm_square': 1811999399936.0, 'tokens': 348}
{'loss': 3108.7294921875, 'grad_norm_square': 841047038976.0, 'tokens': 336}
{'loss': 2680.151123046875, 'grad_norm_square': 614840338016.0, 'tokens': 334}
{'loss': 2248.241943359375, 'grad_norm_square': 316182545952.0, 'tokens': 312}
{'loss': 2745.24267578125, 'grad_norm_square': 374656446720.0, 'tokens': 332}
{'loss': 2234.8876953125, 'grad_norm_square': 293507830048.0, 'tokens': 272}
{'loss': 1826.8050537109375, 'grad_norm_square': 498703388448.0, 'tokens': 258}
{'loss': 2239.161865234375, 'grad_norm_square': 268888379400.0, 'tokens': 314}
