{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 67397353472.0, 'tokens': 319}
{'loss': 1404.9952392578125, 'grad_norm_square': 71281024901120.0, 'tokens': 252}
{'loss': 38433.4453125, 'grad_norm_square': 9240948538081280.0, 'tokens': 311}
{'loss': 5979.5732421875, 'grad_norm_square': 422421655191552.0, 'tokens': 308}
{'loss': 2578.0283203125, 'grad_norm_square': 5751566696448.0, 'tokens': 335}
{'loss': 101553.296875, 'grad_norm_square': 3.184217772208947e+16, 'tokens': 434}
{'loss': 11353.669921875, 'grad_norm_square': 404553210920960.0, 'tokens': 378}
{'loss': 4442.08837890625, 'grad_norm_square': 6650134093824.0, 'tokens': 299}
{'loss': 4090.05712890625, 'grad_norm_square': 5444091248640.0, 'tokens': 377}
{'loss': 3518.723876953125, 'grad_norm_square': 9511005847552.0, 'tokens': 294}
{'loss': 48935.375, 'grad_norm_square': 1.6646568570938982e+17, 'tokens': 315}
{'loss': 7579.69189453125, 'grad_norm_square': 197061607686144.0, 'tokens': 328}
{'loss': 9514.4453125, 'grad_norm_square': 24625152884736.0, 'tokens': 394}
{'loss': 5134.40283203125, 'grad_norm_square': 7410426970112.0, 'tokens': 291}
{'loss': 5429.8525390625, 'grad_norm_square': 9594992885760.0, 'tokens': 274}
{'loss': 5012.09375, 'grad_norm_square': 29244920299520.0, 'tokens': 342}
{'loss': 6386.9609375, 'grad_norm_square': 79108726849536.0, 'tokens': 441}
{'loss': 4935.984375, 'grad_norm_square': 19413556772864.0, 'tokens': 360}
{'loss': 3574.63916015625, 'grad_norm_square': 13784036196352.0, 'tokens': 306}
{'loss': 3458.080322265625, 'grad_norm_square': 415438862286848.0, 'tokens': 343}
{'loss': 3910.35400390625, 'grad_norm_square': 8812936740864.0, 'tokens': 230}
{'loss': 7719.3681640625, 'grad_norm_square': 71456375701504.0, 'tokens': 438}
{'loss': 8903.00390625, 'grad_norm_square': 4401371507851264.0, 'tokens': 330}
{'loss': 9326.896484375, 'grad_norm_square': 90992889036800.0, 'tokens': 488}
{'loss': 4446.4775390625, 'grad_norm_square': 6299852120064.0, 'tokens': 343}
{'loss': 5187.79296875, 'grad_norm_square': 4990990794752.0, 'tokens': 360}
{'loss': 2797.20263671875, 'grad_norm_square': 1255362893824.0, 'tokens': 227}
{'loss': 5121.66845703125, 'grad_norm_square': 7092570759168.0, 'tokens': 400}
{'loss': 3856.4619140625, 'grad_norm_square': 2992655366144.0, 'tokens': 389}
{'loss': 3134.559326171875, 'grad_norm_square': 3772929792000.0, 'tokens': 347}
{'loss': 2520.0673828125, 'grad_norm_square': 2252363555840.0, 'tokens': 281}
{'loss': 2182.3876953125, 'grad_norm_square': 891629016576.0, 'tokens': 299}
{'loss': 2709.747802734375, 'grad_norm_square': 2851504982016.0, 'tokens': 305}
{'loss': 2922.728515625, 'grad_norm_square': 90204316925952.0, 'tokens': 304}
{'loss': 2461.32861328125, 'grad_norm_square': 2141448032256.0, 'tokens': 289}
{'loss': 4180.19921875, 'grad_norm_square': 4449691953152.0, 'tokens': 381}
{'loss': 3802.146484375, 'grad_norm_square': 2928407115776.0, 'tokens': 395}
{'loss': 2778.817626953125, 'grad_norm_square': 1092886562816.0, 'tokens': 267}
{'loss': 2987.711181640625, 'grad_norm_square': 2222937833472.0, 'tokens': 299}
{'loss': 3386.71044921875, 'grad_norm_square': 3193763809280.0, 'tokens': 407}
{'loss': 3240.2939453125, 'grad_norm_square': 2277188727808.0, 'tokens': 347}
{'loss': 2033.870849609375, 'grad_norm_square': 388420726272.0, 'tokens': 248}
{'loss': 2425.9052734375, 'grad_norm_square': 1785662005248.0, 'tokens': 309}
{'loss': 2304.056640625, 'grad_norm_square': 30745964788736.0, 'tokens': 335}
{'loss': 2783.296875, 'grad_norm_square': 556945295360.0, 'tokens': 420}
{'loss': 2087.0751953125, 'grad_norm_square': 442695252480.0, 'tokens': 293}
{'loss': 1722.9150390625, 'grad_norm_square': 3447867645952.0, 'tokens': 251}
{'loss': 2471.899169921875, 'grad_norm_square': 904735710592.0, 'tokens': 348}
{'loss': 2596.798583984375, 'grad_norm_square': 1923844057088.0, 'tokens': 336}
{'loss': 2138.474609375, 'grad_norm_square': 487084638592.0, 'tokens': 334}
{'loss': 1868.319580078125, 'grad_norm_square': 332216867968.0, 'tokens': 312}
{'loss': 2214.66796875, 'grad_norm_square': 214668113664.0, 'tokens': 332}
