{'model_params': 2506172416, 'peft_params': 1255408}
{'loss': 466.0, 'grad_norm_square': 61813169324032.0, 'tokens': 319}
{'loss': 16768.0, 'grad_norm_square': 1.1752323163252326e+19, 'tokens': 252}
{'loss': 96256.0, 'grad_norm_square': 1.247322080014072e+17, 'tokens': 311}
{'loss': 9920.0, 'grad_norm_square': 1.6837871819346448e+16, 'tokens': 308}
{'loss': 14656.0, 'grad_norm_square': 2.2996726264729152e+17, 'tokens': 335}
{'loss': 9792.0, 'grad_norm_square': 2.1093466976542444e+16, 'tokens': 434}
{'loss': 7040.0, 'grad_norm_square': 85724187853539.72, 'tokens': 378}
{'loss': 4512.0, 'grad_norm_square': 26800096026827.168, 'tokens': 299}
{'loss': 4928.0, 'grad_norm_square': 20352740085953.824, 'tokens': 377}
{'loss': 4768.0, 'grad_norm_square': 16040192180389.684, 'tokens': 294}
{'loss': 4160.0, 'grad_norm_square': 9735803551837.086, 'tokens': 315}
{'loss': 3952.0, 'grad_norm_square': 7353886887997.385, 'tokens': 328}
{'loss': 4864.0, 'grad_norm_square': 8866970828856.918, 'tokens': 394}
{'loss': 2912.0, 'grad_norm_square': 7481873625117.405, 'tokens': 291}
{'loss': 3248.0, 'grad_norm_square': 7798004428842.611, 'tokens': 274}
{'loss': 3600.0, 'grad_norm_square': 19578239844496.13, 'tokens': 342}
{'loss': 4960.0, 'grad_norm_square': 24099908755637.918, 'tokens': 441}
{'loss': 3696.0, 'grad_norm_square': 8323237150777.632, 'tokens': 360}
{'loss': 3200.0, 'grad_norm_square': 2212968080135.8423, 'tokens': 306}
{'loss': 3200.0, 'grad_norm_square': 2371421040905.963, 'tokens': 343}
{'loss': 2528.0, 'grad_norm_square': 2906128627217.581, 'tokens': 230}
{'loss': 4960.0, 'grad_norm_square': 16857142929528.686, 'tokens': 438}
{'loss': 3264.0, 'grad_norm_square': 4239225196570.234, 'tokens': 330}
{'loss': 5184.0, 'grad_norm_square': 6398388174882.498, 'tokens': 488}
{'loss': 3296.0, 'grad_norm_square': 1518724911114.4736, 'tokens': 343}
{'loss': 3728.0, 'grad_norm_square': 2933819771928.94, 'tokens': 360}
{'loss': 2064.0, 'grad_norm_square': 1956655439892.7517, 'tokens': 227}
{'loss': 3920.0, 'grad_norm_square': 3584223059993.1123, 'tokens': 400}
{'loss': 3680.0, 'grad_norm_square': 4351303167007.12, 'tokens': 389}
{'loss': 3248.0, 'grad_norm_square': 2175442825227.1318, 'tokens': 347}
{'loss': 2848.0, 'grad_norm_square': 1250717740550.6052, 'tokens': 281}
{'loss': 2624.0, 'grad_norm_square': 1186520140293.9702, 'tokens': 299}
{'loss': 3248.0, 'grad_norm_square': 2601345873941.43, 'tokens': 305}
{'loss': 3200.0, 'grad_norm_square': 3399720591395.691, 'tokens': 304}
{'loss': 2384.0, 'grad_norm_square': 635772054787.1926, 'tokens': 289}
{'loss': 3504.0, 'grad_norm_square': 945052988422.4874, 'tokens': 381}
{'loss': 3376.0, 'grad_norm_square': 741860858627.0833, 'tokens': 395}
