{'loss': 416.0, 'grad_norm_square': 31232.0, 'tokens': 403}
{'loss': 544.0, 'grad_norm_square': 36608.0, 'tokens': 467}
{'loss': 202.0, 'grad_norm_square': 22912.0, 'tokens': 292}
{'loss': 430.0, 'grad_norm_square': 42240.0, 'tokens': 439}
{'loss': 492.0, 'grad_norm_square': 42752.0, 'tokens': 438}
{'loss': 306.0, 'grad_norm_square': 26496.0, 'tokens': 363}
{'loss': 478.0, 'grad_norm_square': 35840.0, 'tokens': 482}
{'loss': 296.0, 'grad_norm_square': 27776.0, 'tokens': 341}
{'loss': 380.0, 'grad_norm_square': 33792.0, 'tokens': 469}
{'loss': 276.0, 'grad_norm_square': 24960.0, 'tokens': 252}
{'loss': 326.0, 'grad_norm_square': 28544.0, 'tokens': 386}
{'loss': 458.0, 'grad_norm_square': 40192.0, 'tokens': 438}
{'loss': 386.0, 'grad_norm_square': 32256.0, 'tokens': 440}
{'loss': 352.0, 'grad_norm_square': 35072.0, 'tokens': 281}
{'loss': 422.0, 'grad_norm_square': 32256.0, 'tokens': 436}
{'loss': 324.0, 'grad_norm_square': 30848.0, 'tokens': 361}
{'loss': 528.0, 'grad_norm_square': 39936.0, 'tokens': 394}
{'loss': 195.0, 'grad_norm_square': 25600.0, 'tokens': 278}
{'loss': 300.0, 'grad_norm_square': 30208.0, 'tokens': 364}
{'loss': 432.0, 'grad_norm_square': 36352.0, 'tokens': 425}
{'loss': 454.0, 'grad_norm_square': 43264.0, 'tokens': 411}
{'loss': 252.0, 'grad_norm_square': 27136.0, 'tokens': 281}
{'loss': 442.0, 'grad_norm_square': 34304.0, 'tokens': 434}
{'loss': 438.0, 'grad_norm_square': 31616.0, 'tokens': 404}
{'loss': 556.0, 'grad_norm_square': 37888.0, 'tokens': 457}
{'loss': 418.0, 'grad_norm_square': 32384.0, 'tokens': 472}
{'loss': 370.0, 'grad_norm_square': 30464.0, 'tokens': 400}
{'loss': 211.0, 'grad_norm_square': 21248.0, 'tokens': 294}
{'loss': 524.0, 'grad_norm_square': 39168.0, 'tokens': 418}
{'loss': 434.0, 'grad_norm_square': 39936.0, 'tokens': 446}
{'loss': 422.0, 'grad_norm_square': 34816.0, 'tokens': 428}
{'loss': 274.0, 'grad_norm_square': 26240.0, 'tokens': 363}
{'loss': 440.0, 'grad_norm_square': 31360.0, 'tokens': 424}
{'loss': 404.0, 'grad_norm_square': 30592.0, 'tokens': 430}
{'loss': 322.0, 'grad_norm_square': 23168.0, 'tokens': 414}
{'loss': 400.0, 'grad_norm_square': 27904.0, 'tokens': 433}
{'loss': 548.0, 'grad_norm_square': 43008.0, 'tokens': 399}
{'loss': 270.0, 'grad_norm_square': 30848.0, 'tokens': 275}
{'loss': 239.0, 'grad_norm_square': 22400.0, 'tokens': 303}
{'loss': 374.0, 'grad_norm_square': 35584.0, 'tokens': 249}
{'loss': 520.0, 'grad_norm_square': 33792.0, 'tokens': 446}
{'loss': 404.0, 'grad_norm_square': 32000.0, 'tokens': 415}
{'loss': 362.0, 'grad_norm_square': 30592.0, 'tokens': 429}
{'loss': 564.0, 'grad_norm_square': 40192.0, 'tokens': 462}
{'loss': 292.0, 'grad_norm_square': 27648.0, 'tokens': 278}
{'loss': 474.0, 'grad_norm_square': 39168.0, 'tokens': 417}
{'loss': 278.0, 'grad_norm_square': 30848.0, 'tokens': 251}
{'loss': 392.0, 'grad_norm_square': 28032.0, 'tokens': 443}
